vesselName,imoNumber,flag,vesselType,grossTonnage,mmsiNumber,yearBuilt
EAGLE VIRGINIA,9230878,SG,CRUDE OIL TANKER,161233,546422000,2001
OOCL SHANGHAI,9198111,HK,CONTAINER SHIP,66289,477817400,1999
XIAO ZHU SHAN,9230880,LR,TANKER,161233,636020336,2002
DALI,9787936,KY,TANKER,64321,319147800,2015
RIDGEBURY LINDY B,9296418,MH,TANKER,77636,538005575,2007
QIXIANLING,9656864,CN,BULK CARRIER,22494,414708000,2012
POUNDA,9493028,MT,BULK CARRIER,91758,249632000,2009
SHIN NICHIHO,9296420,KY,BULK CARRIER,102208,356339000,2004
ISANDA,9493030,SG,PETROLEUM PRODUCT TANKER (>=60C),4915,1,2007
DE BO 3,9755177,CN,HEAVYLOAD SEMI-SUBMERSIBLE,18702,413021350,2017
HASTA,9820714,PA,TANKER,13136,563066800,2017
FEYHA,9460265,MH,BULK CARRIER,23494,538003875,2010
SEGER,9656876,SG,PETROLEUM PRODUCT TANKER (>=60C),2239,566532000,2010
BURRI,9787948,KY,TANKER,64555,319151100,2019
NORDIC GRACE,9230892,KY,TANKER,84598,319058800,2002
GOLDEN BEHIKE,9722417,MH,BULK CARRIER,94091,538006354,2016
CONSTANCY,9493042,MY,TANKER,7284,533131016,2006
PING HAI WAN,9558579,PA,TANKER,5565,356503000,2009
AROWANA MUNICH,8706612,MY,TANKER,2456,533994000,1987
ROXANA,8706612,MN,TANKER,2456,457124000,1987
JAY JAY,8706612,MN,TANKER,2456,457476000,1987
ELENI,9460277,MH,BULK CARRIER,23494,538003960,2010
MSC ERICA,9755191,LR,CONTAINER SHIP,194308,636017726,2016
G PARAGON,9656888,PA,LPG,46786,356117000,2013
ORACLE,9525819,SG,PETROLEUM PRODUCT TANKER (<60C),5219,564968000,2008
HAI DUONG 68,9296444,PA,GENERAL CARGO,7243,356256000,2003
GOOD NEWS,9230907,LR,TANKER,161135,205438000,2002
HL TUBARAO,9493054,PA,BULK CARRIER,152457,354121000,2010
GOLDEN MONTERREY,9722429,MH,BULK CARRIER,94091,538006355,2016
SFL HUDSON,9525821,MH,BULK CARRIER,32945,538004096,2009
MANOUSOS P,9394753,LR,BULK CARRIER,43158,636013647,0
AMIS NATURE,9787974,LR,BULK CARRIER,31555,636018636,2018
HL BRAZIL,9493066,PA,BULK CARRIER,152457,353825000,2011
SELENA,9853515,BB,BULK CARRIER,35752,314484000,2019
YIANNIS B,9394765,LR,BULK CARRIER,43158,636013646,2006
ZORBAS,9689677,GR,BULK CARRIER,93202,241316000,2014
SINO STAR,9263693,HK,TANKER,30024,477642800,2003
COSMIC 9,9460306,ID,TANKER,2027,525011107,2006
MAERSK VIKING,9624146,SG,DRILL SHIP,60705,566940000,2012
KAREKARE,9787986,MT,TANKER,82870,249889000,2017
BOSPORUS,9689691,GR,BULK CARRIER,94009,241392000,2015
PANGALENGAN,9793478,IN,TUG BOAT,1700,525108015,0
CASTLEGATE,9460318,LR,BULK CARRIER,29923,636015902,2008
UMM SALAL,9525857,MT,CONTAINER SHIP,141077,215237000,2011
CSB YEARS,9493092,HK,BULK CARRIER,151825,477413700,2011
MARIGO P,9689706,GR,BULK CARRIER,94009,241391000,2016
MARIE GRACE,9460332,LR,BULK CARRIER,29911,636014046,2008
AIN SNAN,9525869,MT,CONTAINER SHIP,141077,256603000,2012
UNAYZAH,9525871,MT,CONTAINER SHIP,141077,256885000,2012
CSB HERALD,9493107,HK,BULK CARRIER,151825,477947300,2011
GALAR,9689720,LR,OIL RIG,10501,636019535,2017
LA BALENA,9230969,BZ,TANKER,159456,538007796,0
EASTERN CAPE,9624184,HK,BULK CARRIER,17019,477334100,2010
COSMIC 10,9460344,ID,TANKER,2996,525011110,2006
SKADI,9230971,PA,TANKER,56346,352421000,2001
ALULA,9525883,MT,CONTAINER SHIP,141077,256884000,2012
CSB TALENT,9493119,HK,BULK CARRIER,151825,477464900,2011
CSB PROSPERITY,9493121,HK,BULK CARRIER,151825,477196300,2010
SHENG LE B,9132674,PA,BULK CARRIER,16761,374572000,1995
MSC SAVONA,9460356,LR,CONTAINER SHIP,153115,636091959,2010
LA DONNA I,9591428,MH,BULK CARRIER,43717,538005578,2014
WEI LUN JU LONG,9591430,CN,BULK CARRIER,43717,412377000,2012
TAYMA,9525895,MT,CONTAINER SHIP,141077,229009000,2012
INTAN DAYA 7,9656967,ID,GENERAL CARGO,4437,525020078,2011
MTT TANJUNG MANIS,9165449,MY,CONTAINER SHIP,10380,533130646,0
MTT TANJUNG MANIS,9165449,MY,CONTAINER SHIP,10384,533130646,1997
HERBY,9362059,PA,TANKER,163660,677052900,2008
MALIK AL ASHTAR,9525900,MT,CONTAINER SHIP,141077,229006000,2012
SILVER RAY,9493133,LR,CHEMICAL TANKER,11733,636015953,2013
JANUS,9362061,TZ,TANKER,163660,677024600,0
HORSE,9362061,IR,TANKER,163660,422209800,0
HORSE,9362061,PA,TANKER,163660,677024600,2008
DAUNTLESS,9263760,LR,BULK CARRIER,16978,352045000,2002
ABK TIGER,9263760,PA,BULK CARRIER,16978,352886000,0
FRIENDLY SEAS,9394832,LR,BULK CARRIER,32415,636013974,2006
ASCALON,9198226,RU,CONTAINER SHIP-ROLL ON/OFF,8821,273219650,1999
SM VENUS 1,9853589,PA,TANKER,153851,354969000,2019
IVAN SIDORENKO,9624213,RU,SUPPLY VESSEL,5035,273413540,0
SM VENUS2,9853591,PA,TANKER,153851,371572000,2019
AL RIFFA,9525912,MT,CONTAINER SHIP,141077,229005000,2012
MAHA ROOS,9231004,IN,BULK CARRIER,38731,419000124,2002
WEST SCENT,9132703,VC,CONTAINER SHIP,11875,376307000,1995
SUNNY BOKE,9198240,PA,BULK CARRIER,87473,357349000,2001
OSTAP SHEREMETA,9624225,RU,SUPPLY VESSEL,5035,273459710,0
AL QIBLA,9525924,KW,CONTAINER SHIP,141077,0,2012
AL QIBLA,9525924,MT,CONTAINER SHIP,141077,256576000,2012
FASTRON,9329318,ID,TANKER,22481,525008117,2005
BULK MUSTIQUE,9853606,LR,BULK CARRIER,36463,636019555,2019
KIBALI,9558696,CY,BULK CARRIER,33338,210558000,2011
GUOYUAN 28,9591466,CN,BULK CARRIER,41830,414149000,2013
ASPEN SPIRIT,9427627,BS,TANKER,83545,311000333,2009
WHITE HAWK,9460394,MH,BULK CARRIER,34039,538004665,2012
NOZOMI,9558701,SG,BULK CARRIER,33338,566850000,2010
GALAXY ACE,9624237,LR,VEHICLE CARRIER,59583,636015819,2010
EXCELERATE SEQUOIA,9820843,MH,LNG,116282,538008851,2020
JEBEL ALI,9525936,MT,CONTAINER SHIP,141077,229007000,2012
HUI FENG 6,9231028,PA,GENERAL CARGO,6100,355604000,2000
HUAYANG PIONEER,9591478,HK,BULK CARRIER,41830,477752100,2011
EVER GRADE,9820855,PA,CONTAINER SHIP,217612,357463000,0
GUO YUAN 32,9591480,CN,BULK CARRIER,41830,414148000,2013
YM PLUM,9198264,LR,CONTAINER SHIP,64254,636018262,2000
DL OLIVE,9657014,PA,BULK CARRIER,23524,356283000,2013
EL GRASSO,9624251,BE,BULK CARRIER,92758,205699000,2016
ALS VENUS,9525948,SG,CONTAINER SHIP,26374,563062700,2008
TAHOE SPIRIT,9427641,BS,TANKER,83545,311000337,2010
JADE,8673982,SL,DREDGER,2996,667001403,0
COPPER SPIRIT,9427639,BS,TANKER,83545,311000336,2009
NORD MAMORE,9853632,PA,BULK CARRIER,36463,371598000,2020
DL LAVENDER,9657026,PA,BULK CARRIER,23524,356353000,2014
CAPE GARNET,9820867,JP,BULK CARRIER,107454,431664000,2018
YM ORCHID,9198276,LR,CONTAINER SHIP,64254,353046000,2000
AL BIDDA,9132741,JP,LNG,111124,431207000,1998
SINGAPORE EAGLE,9788100,MH,BULK CARRIER,36317,538005716,2017
CAPE EMERALD,9624263,PA,BULK CARRIER,92752,373917000,2012
NEW JOURNEY,9689794,PA,BULK CARRIER,21728,356548000,2015
HAI DUONG 79,9427653,VN,SUPPLY VESSEL,2428,574004530,2009
UACC CONSENSUS,9296585,PA,TANKER,28059,352591000,0
CAPE AMAL,9820879,JP,BULK CARRIER,93664,431936000,2018
YM COSMOS,9198288,LR,CONTAINER SHIP,64254,636018264,2000
YM COSMOS,9198288,LR,CONTAINER SHIP,64254,636018264,2000
TASCO NIRAND,9689809,TH,TANKER,4225,567502000,2014
RAINBOW HARMONY,9558737,PA,BULK CARRIER,22456,354430000,2009
HUAYANG SPIRIT,9591507,HK,BULK CARRIER,41830,477942400,2011
THREE SASKIAS,9689811,PA,BULK CARRIER,43291,370367000,2014
ODORI,9296597,MH,TANKER,28059,538007923,2005
DMC NEPTUNE,9493200,PA,BULK CARRIER,17025,352059000,2010
MAERSK ARAS,9624275,PA,CONTAINER SHIP,45169,351977000,2012
STI GRACE,9722584,MH,TANKER,62615,538006356,2016
NAVE VELOCITY,9657052,MH,TANKER,29724,538006100,2015
EMMANUEL C,9394909,MH,BULK CARRIER,32415,538005790,2008
LANGERY,9427677,SG,OFFSHORE SUPPLY VESSEL,2428,563054500,2008
GRAECIA NAUTICA,9689823,CY,BULK CARRIER,43291,210214000,2014
MAERSK IYO,9624287,PA,CONTAINER SHIP,45169,373271000,2013
HUAYANG DREAM,9591519,HK,BULK CARRIER,41830,477752200,2011
STI JERMYN,9722596,MH,TANKER,62734,538006357,2016
XENIA S,9165542,TZ,TANKER,56076,636011007,0
PYXIS THETA,9657064,MT,CHEMICAL TANKER,30159,229580000,2013
CORAL,9427689,ID,SUPPLY VESSEL,2400,525015940,2008
WESTGATE,9493224,LR,BULK CARRIER,17025,636015739,2011
SONGA DIAMOND,9460459,MH,CHEMICAL TANKER,11472,538003277,2009
YM WELLBEING,9820908,PA,CONTAINER SHIP,151451,355563000,2018
LUNA LAKE,9198317,PA,TANKER,149274,372557000,2001
MAERSK KARUN,9624299,PA,CONTAINER SHIP,45169,354060000,2014
YM WONDERLAND,9820910,SG,CONTAINER SHIP,151451,563070800,2015
SONGA TOPAZ,9460461,MH,CHEMICAL TANKER,11259,538003279,2009
SHANDONG HAI YAO,9591533,HK,BULK CARRIER,41605,477117300,2011
PSA ASPEN,9853682,SG,TUG BOAT,448,563069220,2018
PEDHOULAS TRADER,9296626,CY,BULK CARRIER,43151,210073000,2006
AL JASRA,9132791,JP,LNG,111168,431104000,1999
SHANDONG HAI XING,9591545,HK,BULK CARRIER,41605,477466500,2011
EVER GENTLE,9820922,LR,CONTAINER SHIP,217612,636019174,0
PSA OAK,9853694,SG,TUG BOAT,491,563069230,2018
HELLAS FIGHTER,9722625,MT,CHEMICAL TANKER,29410,256748000,2015
HTK NEPTUNE,9329411,PA,GENERAL CARGO,22698,374540000,2007
YANGTZE INNOVATION,9231107,HK,GENERAL CARGO,23132,538090125,2001
SHANDONG HAI WANG,9591557,HK,BULK CARRIER,41605,477390200,2011
SANTA ALEXANDRA,9820934,PA,BULK CARRIER,35832,372067000,2018
SEAWAYS YELLOWSTONE,9394947,MH,TANKER,62775,538003322,2009
HELLAS REVENGER,9722637,MT,CHEMICAL TANKER,29410,256769000,2016
CHINA PRIDE,9558799,HK,BULK CARRIER,91373,477559100,2006
SUPER LYDIA,9329423,MH,BULK CARRIER,22698,538007692,2007
YU RONG,9231121,LR,GENERAL CARGO,23132,636018047,2002
ZEKREET,9132818,JP,LNG,111124,431325000,1996
ANNABEL L,9853711,PA,BULK CARRIER,94973,356847000,2019
SEAWAYS YOSEMITE,9394959,MH,TANKER,62775,538003450,2009
HELLAS NEMESIS,9722649,MT,TANKER,29410,249451000,2016
CMA CGM ARKANSAS,9722651,MT,CONTAINER SHIP,95680,256644000,2015
PRINS DER NEDERLANDEN,9263899,CY,DREDGER,18091,212640000,2004
EMPRESS MISTRAL,9853723,PA,BULK CARRIER,94973,351089000,2015
KM JAKARTA,9820958,LR,BULK CARRIER,35824,636018221,2018
EAGLE SENA,9886495,SG,PETROLEUM/CHEMICAL TANKER,6231,563103300,2015
WOO YEON,9558816,NU,TANKER,5023,533047600,2000
GARUDA ASIA,9558816,ID,TANKER,5180,525119088,0
ORANJE,9263904,CY,DREDGER,18091,210381000,2004
APHROS,9460514,MH,BULK CARRIER,31508,538009257,2013
CONCARAN,9820960,MH,BULK CARRIER,35835,538090533,2018
WAN HAI 275,9493286,SG,CONTAINER SHIP,16776,566469000,2011
CMA CGM COLUMBIA,9722663,MT,CONTAINER SHIP,95680,256968000,2015
HOYANGER,9100073,SG,GENERAL CARGO,37150,563499000,1995
SEA GEMINI,9362217,LR,BULK CARRIER,39738,564252000,2006
PERDANA VOYAGER,9526057,MY,SUPPLY VESSEL,2532,538003497,2009
KIBAZ,9263916,MH,TANKER,28517,355456000,2004
SARANA PRIMA,9132844,MY,TANKER,1062,533130712,1996
POLAR SPIRIT,9001772,BS,LNG,66174,311153000,1993
FEDERAL IBERVILLE,9820972,PA,BULK CARRIER,35832,356779000,2018
VENUS HISTORY,9591600,CY,BULK CARRIER,50647,209941000,2010
TAN BINH 236,9198379,PA,BULK CARRIER,14762,357484000,1999
MICHELLE HK,8805169,PA,BULK CARRIER,36074,0,1989
NEW EMPEROR,9362229,HK,BULK CARRIER,39738,477326300,2004
MORNING CELLO,9329461,PA,VEHICLE CARRIER,57542,374042000,2006
W GALAXY,9362231,LR,BULK CARRIER,39736,352952000,2006
ARCTIC SPIRIT,9001784,BS,LNG,66174,311118000,1993
TASIK SAKURA,9460538,MY,BULK CARRIER,40070,533180193,2010
EL COMINO,9624378,MH,BULK CARRIER,34794,538008143,2012
AS SOVEREIGN,9460540,PA,CHEMICAL TANKER,11259,370451000,2009
COMET,9689914,BS,LPG,48060,311000251,2014
PPS SALMON,9624380,SG,BULK CARRIER,34794,563120300,2010
MORNING CORNET,9329473,LR,VEHICLE CARRIER,57542,565600000,2007
JIAN FA,9132868,PA,BULK CARRIER,25074,374262000,1996
CORSAIR,9689926,BS,LPG,48060,311000252,2014
ASPHALT SEMINOLE,9263942,MH,CHEMICAL TANKER,6292,250000484,2002
HONEY ISLAND,9755464,HK,BULK CARRIER,32625,477669500,2015
CRAMOND ISLAND,9755476,HK,BULK CARRIER,32540,477023400,0
HAWK ARROW,8313685,BS,GENERAL CARGO,28092,308796000,1985
P YANBU,9460564,MH,TANKER,55909,636014807,2011
CMA CGM JACQUES JUNIOR,9722716,MT,CONTAINER SHIP,94440,249322000,2016
SIR IVOR,9263966,HK,LPG,4508,636016470,2002
GAS PRODIGY,9263966,LR,LPG,4508,636016470,2003
BARONESS,9460576,LR,TANKER,55909,636014809,2011
V FULMAR,9296743,PH,BULK CARRIER,29739,548902000,2002
TIAN ZHEN,9722728,CN,GENERAL CARGO,26770,413379170,2016
TIAN LE,9722730,CN,GENERAL CARGO,26770,412478730,2016
SEAFALCON,9231212,MT,TANKER,62247,256078000,2002
NAVIOS SOLEIL,9558892,PA,BULK CARRIER,33218,209004000,2009
SAKIZAYA WISDOM,9460590,PA,BULK CARRIER,40034,355860000,2011
SEA JUNO,9460588,PA,BULK CARRIER,40070,566115000,2011
XIANGSHENG HARMONY,9296755,PA,BULK CARRIER,29739,351326000,2004
NOBLE ACE,9493365,GB,VEHICLE CARRIER,59515,235086166,2011
TIAN QI,9722742,CN,GENERAL CARGO,26770,412478720,2016
LL HONG LEE,9853814,ID,TUG BOAT,208,525100917,2017
EBN BATUTA,9231224,MT,TANKER,62247,256185000,2001
NEW DREAM,9689976,HK,TANKER,165209,477848800,2014
DARYA MA,9591674,HK,BULK CARRIER,44325,477196100,2011
ABDULLAH,9132923,BD,BULK CARRIER,26070,405000132,1996
JASMINE,9132923,PA,BULK CARRIER,26070,371873000,1996
GT 789,8674168,SL,DREDGER,2999,667001388,2009
KOTA NAGA,9362293,SG,CONTAINER SHIP,20902,565893000,2007
TITAN,9558907,PA,BULK CARRIER,33218,373781000,2009
GOLDEN ACE,9296767,ID,BULK CARRIER,29732,576915000,2002
SEXTA,9165695,PA,BULK CARRIER,11376,355407000,2000
PENTA,9460605,PA,BULK CARRIER,40043,371932000,2011
OOCL YOKOHAMA,9329538,HK,CONTAINER SHIP,40168,477898700,2007
TIAN JIAN,9722754,CN,GENERAL CARGO,26770,413489920,2016
NEW PROSPERITY,9689988,HK,TANKER,165209,477699100,2014
VL 5,8805250,TH,TANKER,1228,567033900,1988
KOTA NAZAR,9362310,PA,CONTAINER SHIP,20902,355292000,2009
HUA LI,9132935,PA,BULK CARRIER,26041,441408000,1996
NEW TRIUMPH,9689990,HK,TANKER,165209,477181600,2015
HILONG 106,8674182,HK,CRANE BARGE,40612,477346900,2009
DARYA GAYATRI,9591686,HK,BULK CARRIER,44325,477765200,2011
EASY PROSPERITY,9558919,HK,GENERAL CARGO,6550,477547500,2008
AUSTRALIA MARU,9624457,PA,BULK CARRIER,92752,373884000,2012
NEW HUNTER,9296781,PA,BULK CARRIER,25531,371161000,2005
KOJIMA,9034638,JP,TRAINING SHIP,3353,431138000,1993
HELLAS APHRODITE,9722766,MT,TANKER,29410,249452000,2016
OOCL TEXAS,9329552,HK,CONTAINER SHIP,40168,477036600,2007
NISSOS DONOUSSA,9853840,MH,TANKER,160457,538008313,2019
E R DENMARK,9231250,LR,CONTAINER SHIP,65792,636018240,2002
SHIDAI 8,9591698,CN,BULK CARRIER,40913,414716000,2012
TAKESHIO,9526162,PA,BULK CARRIER,23855,373575000,2010
BTS ELIZABETH,9460629,SG,PETROLEUM/CHEMICAL TANKER,5589,566212000,2008
REGENT 243,9558933,NU,TUG BOAT,277,352183000,2008
CAPE EAGLE,9624469,LR,BULK CARRIER,92758,636017448,2012
SHIDAI 9,9591703,CN,BULK CARRIER,40913,414722000,2012
APOLO,9296793,MH,BULK CARRIER,40219,538002510,2006
E R SWEDEN,9231262,LR,CONTAINER SHIP,65792,636018242,2002
DAIO EXCELSIOR,9132959,PA,BULK CARRIER,39901,351298000,1997
FAITHE,9132959,HK,GENERAL CARGO,39901,477103200,1997
FRONT EARL,9788320,MH,TANKER,156391,538007494,2017
AQUAMARINE,9427873,SG,OFFSHORE SUPPLY VESSEL,2428,563104900,2008
DENSA COBRA,9460643,MT,BULK CARRIER,94934,215277000,2011
SHI DAI 10,9591715,CN,BULK CARRIER,40913,414724000,2012
KMTC PENANG,9821093,PA,CONTAINER SHIP,28736,373595000,2018
AJAX,9296808,MH,BULK CARRIER,40219,538002511,2006
CHALLENGER,9722792,BS,LPG,47379,311000393,2015
LUNA ERAWAN,9296810,ID,TANKER,56163,525114057,0
GOLDEN HARVEST,9231274,LR,BULK CARRIER,39727,636016289,2001
FRONT EMPIRE,9788332,MH,TANKER,156391,538007495,2018
FUTURE DIAMOND,9853864,PA,LPG,46863,374651000,2020
GARUDA SEJATI,9690030,ID,TUG BOAT,158,525020207,2012
CAPE PROTEUS,9460655,PA,BULK CARRIER,94817,370460000,2011
RAHORAKHTY,8805298,KE,FISHING VESSEL,411,634140000,0
SEA STAR,9624500,MH,BULK CARRIER,33042,538005376,2014
ARISTA,9821108,SG,PETROLEUM PRODUCT TANKER (<60C),2154,563099600,2016
BONITA,9231286,LR,BULK CARRIER,39727,636091840,2001
FLC WEALTH,9427897,HK,BULK CARRIER,32957,477151300,2007
AQUAMARIE,9591739,LR,BULK CARRIER,92865,636018338,2012
NANSHA HONOR,9886653,SG,ORE/BULK CARRIER,173794,563118400,2019
MANDARIN SKY,9427902,SG,BULK CARRIER,32957,564343000,2008
HARBOUR MARINER,9034688,MY,CONTAINER SHIP,3967,533000902,0
KOREAN EXPRESS,9034688,KP,CONTAINER SHIP,3953,0,0
NORTHWEST SHEARWATER,8608705,BM,LNG,106283,310171000,1989
CSSC CAPE TOWN,9853888,HK,BULK CARRIER,66786,477591300,2015
BRIGHT DAWN,9362372,PA,TANKER,30042,372639000,2006
RAIDER DOLPHIN,9690054,ID,TUG BOAT,247,525012317,2013
ANTWERPIA,9591753,MH,BULK CARRIER,44113,538004459,2011
SUN MASTER,9460681,MH,BULK CARRIER,29179,538004216,2011
ONE HAMMERSMITH,9395147,PA,CONTAINER SHIP,98747,354839000,2009
CAPTAIN MIKE,9296846,MH,BULK CARRIER,46982,563773000,2005
OPEC UNIVERSE,9034705,PA,LPG,18360,354567000,1993
MBA ROSARIA,9591765,IT,BULK CARRIER,51255,247303100,2011
PAGANELLA,9427926,GI,VEHICLE CARRIER,47020,636091815,2009
ONE HAMBURG,9395159,PA,CONTAINER SHIP,98747,372724000,2009
ONE HONG KONG,9395161,PA,CONTAINER SHIP,98747,355271000,2009
AREZOO,9165786,IR,CONTAINER SHIP,15670,422031400,1998
ASL JUPITER,9296858,LR,BULK CARRIER,46982,636019300,2005
PUPUK INDONESIA,9034717,ID,LPG,18360,525018505,1992
NIKOS P,9329629,MH,CONTAINER SHIP,35975,538007939,2007
CHANG YANG JIN SHA,9231327,LR,BULK CARRIER,39727,636015936,2002
ULANGA,9690080,PT,CONTAINER SHIP,24901,255805849,2016
UBENA,9690078,PT,CONTAINER SHIP,24901,255805810,2016
ZOEY,9624548,PA,CHEMICAL TANKER,7328,356131000,2011
IRIANA,9821158,ID,CONTAINER SHIP,7757,525100558,0
DRAKO GALLANT,9755622,ID,TUG BOAT,254,525009316,2012
ALVAN,9165798,IR,GENERAL CARGO,15670,218314000,1998
GATEWAY,8510441,NU,TANKER,315,572274000,1986
ARISTARCHOS,9788394,BS,TANKER,44389,311000676,2017
NORTHERN DEFENDER,9329643,LR,CONTAINER SHIP,35975,636091347,2007
MTM LONDON,9296872,SG,PETROLEUM/CHEMICAL TANKER,11568,566199000,2003
CLIFFORD MAERSK,9198575,DK,CONTAINER SHIP,92198,219840000,1999
PAGNA,9427952,GI,VEHICLE CARRIER,47057,236111884,2010
WADI ALBOSTAN,9460722,EG,BULK CARRIER,33295,622121410,2010
PARIGI P1030,9755634,ID,TANKER,14749,525108006,0
SKALD,9755634,01,OIL RIG,10500,525108006,0
CT FRONTIER,9296884,KR,CHEMICAL TANKER,11615,356718000,2004
LOA FORTUNE,9526265,PA,GENERAL CARGO,19534,357705000,2014
BAI AN HAI,9395197,CN,BULK CARRIER,91205,413424000,2008
THERESA SHANDONG,9591806,HK,BULK CARRIER,44686,477700700,2011
ECO ICE,9755646,MH,LPG,19554,538007403,2018
NIANFENGHAI,9395202,CN,BULK CARRIER,91205,413543000,2008
NS PARADE,9329667,LR,TANKER,25467,636013277,2008
ELYANA,9165827,IR,GENERAL CARGO,15670,422038600,1999
GREENTEC,9493509,HK,BULK CARRIER,20763,477107100,2008
SWISSCO RUBY,9690119,SG,TUG/SUPPLY VESSEL,1182,563297000,2012
MAROULIO S,9493511,LR,BULK CARRIER,41342,636019773,2010
POSH FALCON,9624586,SG,TUG/SUPPLY VESSEL,3513,566512000,2012
THERESA GUANGDONG,9591818,HK,BULK CARRIER,44686,477700800,2011
YONGSHENG OCEAN,9133068,PA,TANKER,29083,351314000,1997
TETON,9395214,MH,BULK CARRIER,31094,538006948,2008
DHT LION,9722895,HK,TANKER,154180,477307700,2015
SERI AYU,9329679,MY,LNG,95729,533942000,2007
RIO CHARLESTON,9362449,LR,CONTAINER SHIP,40807,636018064,2008
VITASPIRIT,9231377,LR,BULK CARRIER,38732,636018805,2001
HIGH ADVENTURER,9788435,PA,TANKER,29513,352719000,2017
DHT PANTHER,9722900,HK,TANKER,154180,477584700,2015
LIBERTY HARVEST,9526291,PA,GENERAL CARGO,19534,353282000,2014
POSH HAWK,9624598,SG,TUG/SUPPLY VESSEL,3513,566513000,2012
FMT EFES,9427990,MT,TANKER,8995,248288000,2010
THERESA HEBEI,9591832,HK,BULK CARRIER,43951,477792400,2011
YOUNG GLORY,9690133,KR,BULK CARRIER,36259,440270000,2014
REGAL,9395226,MH,BULK CARRIER,31094,538006950,2008
MULAND,9133082,PA,TANKER,29083,351840000,1997
EOS,9165853,CK,GENERAL CARGO,7738,0,2006
LOGISTIK NUSANTARA 1,9165853,ID,GENERAL CARGO,7738,518968000,1998
KAZIMAH III,9329693,KW,TANKER,161113,447152000,2006
OCEAN AZURITE,9362463,01,TUG BOAT,228,525100748,2005
ISMENE,9493535,MH,BULK CARRIER,41853,229150000,2013
LNG FINIMA II,9690145,BM,LNG,116568,310722000,2014
THERESA JIANGSU,9591844,HK,BULK CARRIER,43951,477792300,2011
NEWYORK HARMONY,9755684,PA,BULK CARRIER,24328,354228000,0
CASTLE,9395238,MH,BULK CARRIER,31094,538006949,2009
APODA,9133094,SG,LIQUEFIED GAS CARRIER,18530,563123700,1996
EVANS,9395240,MH,BULK CARRIER,31094,538006951,2009
LEON M,9428011,PA,CHEMICAL TANKER,8247,370878000,2008
AL JABRIYAH II,9329708,KW,TANKER,161113,447163000,2007
ALEX,9722924,BE,TANKER,154379,205692000,2015
GAS AL KUWAIT II,9329710,KW,LPG,48104,447161000,2006
LNG PORT HARCOURT II,9690157,BM,LNG,116568,310719000,2014
CRESTONE,9395252,MH,BULK CARRIER,31094,538006952,2009
RAGGIANA,9133109,SG,LIQUEFIED GAS CARRIER,18530,563122400,1997
ANNE,9722936,FR,TANKER,154379,228075700,2015
LNG ABUJA II,9690169,BM,LNG,116568,310730000,2015
GAS AL NEGEH,9329722,KW,LPG,48104,447087000,2007
LNG ABALAMABIE,9690171,BM,LNG,116568,310731000,2015
FORTUNE SUN,9657404,HK,BULK CARRIER,22400,477257700,2010
ST.MICHAELIS,9788473,SG,PETROLEUM/CHEMICAL TANKER,29513,563058100,2015
GRAND CONCORD,9624639,PA,BULK CARRIER,34777,373585000,2010
EOLUS,9395264,MH,BULK CARRIER,31094,538006953,2009
GLOBAL KING,9460801,PA,BULK CARRIER,29847,352301000,2010
ULTRA BELLAMBI,9624641,PA,BULK CARRIER,34777,373810000,2012
CHOU SHAN,9296963,PA,BULK CARRIER,91166,371169000,2004
WINNING GRACE,9722948,SG,BULK CARRIER,107755,566100000,2015
ST.NIKOLAI,9788485,SG,PETROLEUM/CHEMICAL TANKER,29513,563065100,2015
BECKY,9100358,01,VEHICLE CARRIER,7410,353446000,0
RIVERWIJS MARYON,9526344,AU,TUG BOAT,446,503591000,2009
SRI VISHNU,9198666,PA,TANKER,79751,538003053,2000
LAS TORTOLAS,9460813,PA,BULK CARRIER,29218,371331000,2011
THE JUDGE,9755725,MH,TANKER,28013,538007137,2016
PEGASOS,9624653,LR,BULK CARRIER,44592,636017725,2012
YUAN FU STAR,9493585,HK,BULK CARRIER,92050,477135500,2010
ST.PETRI,9788497,SG,PETROLEUM/CHEMICAL TANKER,29513,563074700,2015
RIVERWIJS KAROLINE,9526356,AU,TUG BOAT,446,503592000,2009
NICOSIA PEGASUS,9624665,CY,BULK CARRIER,44592,212841000,2012
MERCURY HOPE,9395290,PA,TANKER,157589,357285000,2011
AFRICAN GROUSE,9755737,BS,GENERAL CARGO,23750,311000424,2015
SPIL RATNA,9886811,ID,SEMI-CONTAINER SHIP,6504,525400142,0
EPIC WAJA,9559133,MY,SUPPLY VESSEL,618,533049600,2008
NORSTAR INTEGRITY,9329758,MH,TANKER,42010,538003032,2006
RIVERWIJS FIONA,9526368,AU,TUG BOAT,446,503593000,2009
RIVERWIJS MARIA,9526370,AU,TUG BOAT,446,503594000,2009
CELEBRITY SOLSTICE,9362530,MT,PASSENGER VESSEL,121878,249409000,2008
HAI DUONG 29,9591911,VN,SUPPLY VESSEL,3487,574000340,2011
NORTHWEST SANDERLING,8608872,AU,LPG,105010,503000050,1989
DESIMI,9395305,MT,TANKER,157316,215618000,2011
SATURN GLORY,9165932,PA,TANKER,156397,351946000,1997
KT 06,9100396,PA,BULK CARRIER,25943,525100645,1994
CDBL ERA,9493614,HK,BULK CARRIER,91971,477234100,2010
AIDABELLA,9362542,IT,PASSENGER VESSEL,69203,247229700,0
NORTHWEST SNIPE,8608884,AU,LNG,105010,503000051,1990
